"Video Title","Video URL","Thumbnail Image","Category","Hover Preview URL","ID","Created Date","Updated Date","Owner","OrderNumber","_manualsort_f4e23b2e-a2b9-49d9-9043-6169ca0331e3"
"Resident Evil: Infinite Darkness | Horror","https://www.youtube.com/embed/Ev98oDAqdE0?si=ZZeVcdYZANXME0sp?rel=0","wix:image://v1/18409d_23244c9cba60433cac3728fc646cec40~mv2.png/Resident%20Evil%20Teaser2.png#originWidth=1920&originHeight=1080","Teaser",,"14cec95d-bb0e-4e42-9612-3bbf44bdbf74",2026-02-24T06:58:12Z,2026-02-24T09:53:37Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",8,1
"DOTA2 ","https://www.youtube.com/embed/c9Xv6G0802c?si=vFxQqq1i2IrmBfch?rel=0","wix:image://v1/18409d_3cf9cfd791564cf299beae409159068d~mv2.png/DOTA_Trailer3.png#originWidth=1920&originHeight=1080","Trailer",,"1da6f80d-a7b6-4800-a917-8ba0fcd00ec5",2026-02-24T03:20:12Z,2026-02-24T09:53:28Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",5,4
"A Very Secret Service Season 1","https://www.youtube.com/embed/0RC1CEvZ9xI?si=jYYQifxkoEtDkOHo?rel=0","wix:image://v1/18409d_b210d141e65a4ae5806fd836aaad12ff~mv2.png/A%20Very%20Secret%20Service.png#originWidth=1920&originHeight=1080","Recap",,"23b7fb12-7057-4078-8b33-e60c3b9b128e",2026-02-24T03:20:57Z,2026-02-24T09:53:45Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",11,17
"Kantaro The Sweet Tooth Salaryman","https://www.youtube.com/embed/COr8PptPtrk?si=FzzPLmxHL1b5M_ra?rel=0","wix:image://v1/18409d_2ce1fa6a8eac407b92920bcc1566fca5~mv2.jpeg/Kantaro.jpeg#originWidth=3840&originHeight=2160","Trailer",,"2ab45ae5-0f14-4b73-bb7b-e8f8891ad468",2026-02-24T07:33:05Z,2026-02-24T09:54:26Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",27,27
"Personalized Anime Sizzle | Danger","https://www.youtube.com/embed/GUE-UV2RJ-0?si=OQuGp6MeHb0hAn0i?rel=0","wix:image://v1/18409d_11bb898acd90496580d6c4f679867d37~mv2.png/Anime%20Danger.png#originWidth=1920&originHeight=1080","Experimental",,"3420156b-050a-499a-82ed-710aeed8385d",2026-02-24T03:18:52Z,2026-02-24T09:53:54Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",15,14
"Neo Yokio Pink Christmas","https://www.youtube.com/embed/LLVazo8J9uE?si=5YGqwecC8-svKC1c?rel=0","https://i.ytimg.com/vi/LLVazo8J9uE/maxresdefault.jpg","Trailer",,"3c052b3c-6318-42d7-86c5-224d7e2d9d6b",2026-02-24T02:53:57Z,2026-02-24T09:53:40Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",9,10
"La Foret","https://www.youtube.com/embed/0KGIwqRlgQ8?si=QsYaCIasPUJTbBnv?rel=0","https://i.ytimg.com/vi/0KGIwqRlgQ8/hqdefault.jpg","Trailer",,"4e30e3e9-8021-421c-8351-13a38d55a6fd",2026-02-24T07:19:57Z,2026-02-24T09:54:24Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",26,28
"Pandora","https://www.youtube.com/embed/nRTrxTO55uw?si=MhlbI0yQ8H4eMXTb?rel=0","wix:image://v1/18409d_d78e1b2b29634ba0a729292fe7135c5d~mv2.png/Pandora2.png#originWidth=1920&originHeight=1080","Teaser",,"5fadc984-ce1d-479f-95e4-9004652f41da",2026-02-24T07:33:29Z,2026-02-24T09:54:28Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",28,25
"Niquelao! | Nailed It! Spain","https://www.youtube.com/embed/VoQD8kAMyYU?si=jYRo5rpxQmR2wMQ7?rel=0","https://i.ytimg.com/vi/VoQD8kAMyYU/maxresdefault.jpg","Trailer",,"604021aa-1244-4439-9b66-0bbe8119b2de",2026-02-24T03:03:53Z,2026-02-24T09:54:06Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",19,12
"Extracurricular","https://www.youtube.com/embed/OMQkLoa_mEk?si=3I2kCPuLKyKDcquJ?rel=0","wix:image://v1/18409d_f58c8047d99a45e48589ea897259af64~mv2.png/Extracurricular2.png#originWidth=3840&originHeight=2160","Trailer",,"63136e88-dd78-4eb7-ba78-a751c93eb25a",2026-02-24T03:17:06Z,2026-02-24T09:53:47Z,"18409dee-4ba9-41c7-bc5f-fbef86371048",12,8
